"County","County Name","Election District - Precinct","Congressional","Legislative","Office Name","Office District","Candidate Name","Party","Winner","Early Votes","Election Night Votes","Mail-In Ballot 1 Votes","Provisional Votes","Mail-In Ballot 2 Votes" 
"16","Montgomery County","001-001","08","14","DEM Cent Comm at Large","16","Michelle C. Whittaker","DEM","Y","12","60","35","1","15" 
"16","Montgomery County","001-001","08","14","DEM Cent Comm at Large","16","Peter Witzler","DEM","Y","14","40","40","3","21" 
"16","Montgomery County","001-001","08","14","DEM Cent Comm","14","Keyna Ijeoma Anyiam","DEM","","9","30","14","1","7" 
"16","Montgomery County","001-001","08","14","DEM Cent Comm","14","Arthur Edmunds","DEM","Y","15","44","38","1","20" 
"16","Montgomery County","001-001","08","14","DEM Cent Comm","14","Mimi Hassanein","DEM","","9","48","24","2","4" 
"16","Montgomery County","001-001","08","14","DEM Cent Comm","14","""Liza"" Smith","DEM","Y","5","36","21","1","18" 
"16","Montgomery County","001-002","08","14","Governor / Lt. Governor","","Rushern L. Baker, III and Nancy Navarro","DEM","","2","5","1","3","0" 
"16","Montgomery County","001-002","08","14","Governor / Lt. Governor","","Jon Baron and Natalie Williams","DEM","","2","4","3","0","2" 
"16","Montgomery County","001-002","08","14","Governor / Lt. Governor","","Peter Franchot and Monique Anderson-Walker","DEM","","9","30","11","0","10" 
"16","Montgomery County","001-002","08","14","Governor / Lt. Governor","","Douglas F. Gansler and Candace Hollingsworth","DEM","","5","10","8","1","1" 
"16","Montgomery County","001-002","08","14","Governor / Lt. Governor","","Ralph W. Jaffe and Mark Greben","DEM","","2","1","0","0","0" 
"16","Montgomery County","001-002","08","14","Governor / Lt. Governor","","Ashwani Jain and LaTrece Hawkins Lytes","DEM","","1","7","2","0","2" 
"16","Montgomery County","001-002","08","14","Governor / Lt. Governor","","John King and Michelle Daugherty Siri","DEM","","2","9","6","1","3" 
"16","Montgomery County","001-002","08","14","Governor / Lt. Governor","","Wes Moore and Aruna Miller","DEM","Y","8","40","23","4","17" 
"16","Montgomery County","001-002","08","14","Governor / Lt. Governor","","Tom Perez and Shannon Sneed","DEM","","20","69","58","7","35" 
"16","Montgomery County","001-002","08","14","Governor / Lt. Governor","","Jerome M. Segal and Justinian M. Dispenza","DEM","","1","0","0","0","0" 
"16","Montgomery County","001-002","08","14","Comptroller","","Timothy J. Adams","DEM","","12","38","21","5","9" 
"16","Montgomery County","001-002","08","14","Comptroller","","Brooke Elizabeth Lierman","DEM","Y","39","128","90","10","58" 
"16","Montgomery County","001-002","08","14","Attorney General","","Anthony G. Brown","DEM","Y","21","78","38","4","30" 
"16","Montgomery County","001-002","08","14","Attorney General","","Katie Curran O'Malley","DEM","","29","91","75","11","40" 
"16","Montgomery County","001-002","08","14","U.S. Senator","","Michelle L. Smith","DEM","","3","28","12","4","8" 
"16","Montgomery County","001-002","08","14","U.S. Senator","","Chris Van Hollen","DEM","Y","48","146","101","12","62" 
"16","Montgomery County","001-002","08","14","U.S. Congress","08","Andalib Odulate","DEM","","1","21","10","0","6" 
"16","Montgomery County","001-002","08","14","U.S. Congress","08","Jamie Raskin","DEM","Y","50","153","103","15","64" 
"16","Montgomery County","001-002","08","14","State Senator","14","Collins Odongo","DEM","","9","34","17","1","10" 
"16","Montgomery County","001-002","08","14","State Senator","14","Craig J. Zucker","DEM","Y","41","128","93","14","57" 
"16","Montgomery County","001-002","08","14","House of Delegates","14","Joshua Dowling","DEM","","12","29","16","2","5" 
"16","Montgomery County","001-002","08","14","House of Delegates","14","Anne R. Kaiser","DEM","Y","41","131","86","12","53" 
"16","Montgomery County","001-002","08","14","House of Delegates","14","Eric Luedtke","DEM","Y","34","90","79","9","48" 
"16","Montgomery County","001-002","08","14","House of Delegates","14","Pamela Queen","DEM","Y","32","111","82","5","46" 
"16","Montgomery County","001-002","08","14","House of Delegates","14","Tom B. Smith","DEM","","18","67","38","6","23" 
"16","Montgomery County","001-002","08","14","County Executive","16","David T. Blair","DEM","","26","87","51","10","25" 
"16","Montgomery County","001-002","08","14","County Executive","16","Marc Elrich","DEM","Y","20","59","45","5","24" 
"16","Montgomery County","001-002","08","14","County Executive","16","Peter James","DEM","","1","4","4","1","3" 
"16","Montgomery County","001-002","08","14","County Executive","16","Hans Riemer","DEM","","5","23","13","0","17" 
"16","Montgomery County","001-002","08","14","County Council At Large","16","Gabe Albornoz","DEM","Y","24","88","75","12","37" 
"16","Montgomery County","001-002","08","14","County Council At Large","16","Brandy H. M. Brooks","DEM","","16","61","30","1","12" 
"16","Montgomery County","001-002","08","14","County Council At Large","16","Dana E. Gassaway","DEM","","15","58","14","4","5" 
"16","Montgomery County","001-002","08","14","County Council At Large","16","Evan Glass","DEM","Y","23","99","71","11","45" 
"16","Montgomery County","001-002","08","14","County Council At Large","16","Scott Evan Goldberg","DEM","","19","46","53","5","26" 
"16","Montgomery County","001-002","08","14","County Council At Large","16","Tom Hucker","DEM","","16","53","40","4","22" 
"16","Montgomery County","001-002","08","14","County Council At Large","16","Will Jawando","DEM","Y","26","92","71","6","42" 
"16","Montgomery County","001-002","08","14","County Council At Large","16","Laurie-Anne Sayles","DEM","Y","23","90","51","8","25" 
"16","Montgomery County","001-002","08","14","County Council","007","Andrew A. Einsmann","DEM","","8","15","4","2","2" 
"16","Montgomery County","001-002","08","14","County Council","007","Paul Geller","DEM","","2","12","5","1","6" 
"16","Montgomery County","001-002","08","14","County Council","007","Sharif A. Hidayat","DEM","","7","21","6","1","2" 
"16","Montgomery County","001-002","08","14","County Council","007","Dawn Luedtke","DEM","Y","12","53","55","3","33" 
"16","Montgomery County","001-002","08","14","County Council","007","Jacqueline Manger","DEM","","13","38","28","3","10" 
"16","Montgomery County","001-002","08","14","County Council","007","Paul K. Schwartz","DEM","","3","7","6","0","3" 
"16","Montgomery County","001-002","08","14","County Council","007","Ben Wikner","DEM","","4","14","4","4","7" 
"16","Montgomery County","001-002","08","14","Judge Circuit Court","Montgomery County Circuit Court 06","Carlos F. Acosta","DEM","Y","34","106","80","11","49" 
"16","Montgomery County","001-002","08","14","Judge Circuit Court","Montgomery County Circuit Court 06","Theresa M. Chernosky","DEM","Y","34","99","96","11","47" 
"16","Montgomery County","001-002","08","14","Judge Circuit Court","Montgomery County Circuit Court 06","Kathleen Dumais","DEM","Y","38","111","98","11","50" 
"16","Montgomery County","001-002","08","14","Judge Circuit Court","Montgomery County Circuit Court 06","Thomas P. Johnson, III","DEM","","7","38","17","2","12" 
"16","Montgomery County","001-002","08","14","Judge Circuit Court","Montgomery County Circuit Court 06","Rachel Theora McGuckian","DEM","Y","35","106","90","9","53" 
"16","Montgomery County","001-002","08","14","Judge Circuit Court","Montgomery County Circuit Court 06","Marylin Pierre","DEM","","23","74","37","5","29" 
"16","Montgomery County","001-002","08","14","State's Attorney","16","Tom DeGonia","DEM","","7","30","12","1","12" 
"16","Montgomery County","001-002","08","14","State's Attorney","16","John McCarthy","DEM","Y","26","70","69","7","38" 
"16","Montgomery County","001-002","08","14","State's Attorney","16","Bernice Mireku-North","DEM","","13","37","16","5","5" 
"16","Montgomery County","001-002","08","14","State's Attorney","16","Perry Paylor","DEM","","4","24","10","0","9" 
"16","Montgomery County","001-002","08","14","Clerk Circuit Court","16","Alan S. Bowser","DEM","","8","46","10","1","21" 
"16","Montgomery County","001-002","08","14","Clerk Circuit Court","16","Karen Bushell","DEM","Y","38","93","81","9","38" 
"16","Montgomery County","001-002","08","14","Register of Wills","16","Joseph M. Griffin","DEM","Y","44","134","93","13","57" 
"16","Montgomery County","001-002","08","14","Sheriff","16","Robert Bass","DEM","","21","52","28","4","16" 
"16","Montgomery County","001-002","08","14","Sheriff","16","Maxwell Cornelius Uy","DEM","Y","24","88","65","8","39" 
"16","Montgomery County","001-002","08","14","DEM Cent Comm at Large","16","Tazeen Ahmad","DEM","","24","79","40","7","34" 
"16","Montgomery County","001-002","08","14","DEM Cent Comm at Large","16","Sarah Brand","DEM","Y","30","75","53","9","38" 
"16","Montgomery County","001-002","08","14","DEM Cent Comm at Large","16","Ilhan Cagri","DEM","","29","62","40","7","30" 
"16","Montgomery County","001-002","08","14","DEM Cent Comm at Large","16","Barbara Ebel","DEM","Y","28","75","53","8","26" 
"16","Montgomery County","001-002","08","14","DEM Cent Comm at Large","16","Marjorie Goldman","DEM","Y","27","70","54","7","30" 
"16","Montgomery County","001-002","08","14","DEM Cent Comm at Large","16","Raju Mahajan","DEM","","19","54","20","4","24" 
"16","Montgomery County","001-002","08","14","DEM Cent Comm at Large","16","Marko G. Rivera-Oven","DEM","Y","27","75","54","9","31" 
"16","Montgomery County","001-002","08","14","DEM Cent Comm at Large","16","Andrew D. Saundry","DEM","Y","30","59","57","5","37" 
"16","Montgomery County","001-002","08","14","DEM Cent Comm at Large","16","Michael Tardif","DEM","Y","25","58","33","4","26" 
"16","Montgomery County","001-002","08","14","DEM Cent Comm at Large","16","Michelle C. Whittaker","DEM","Y","22","69","53","8","30" 
"16","Montgomery County","001-002","08","14","DEM Cent Comm at Large","16","Peter Witzler","DEM","Y","24","59","46","3","35" 
"16","Montgomery County","001-002","08","14","DEM Cent Comm","14","Keyna Ijeoma Anyiam","DEM","","23","56","23","4","18" 
"16","Montgomery County","001-002","08","14","DEM Cent Comm","14","Arthur Edmunds","DEM","Y","26","73","47","4","27" 
"16","Montgomery County","001-002","08","14","DEM Cent Comm","14","Mimi Hassanein","DEM","","17","46","39","6","29" 
"16","Montgomery County","001-002","08","14","DEM Cent Comm","14","""Liza"" Smith","DEM","Y","14","46","34","2","15" 
"16","Montgomery County","001-003","08","39","Governor / Lt. Governor","","Rushern L. Baker, III and Nancy Navarro","DEM","","8","24","11","0","3" 
"16","Montgomery County","001-003","08","39","Governor / Lt. Governor","","Jon Baron and Natalie Williams","DEM","","1","8","4","1","2" 
"16","Montgomery County","001-003","08","39","Governor / Lt. Governor","","Peter Franchot and Monique Anderson-Walker","DEM","","9","27","27","3","12" 
"16","Montgomery County","001-003","08","39","Governor / Lt. Governor","","Douglas F. Gansler and Candace Hollingsworth","DEM","","6","14","18","0","8" 
"16","Montgomery County","001-003","08","39","Governor / Lt. Governor","","Ralph W. Jaffe and Mark Greben","DEM","","0","1","1","0","0" 
"16","Montgomery County","001-003","08","39","Governor / Lt. Governor","","Ashwani Jain and LaTrece Hawkins Lytes","DEM","","2","7","2","1","1" 
"16","Montgomery County","001-003","08","39","Governor / Lt. Governor","","John King and Michelle Daugherty Siri","DEM","","10","5","15","1","4" 
"16","Montgomery County","001-003","08","39","Governor / Lt. Governor","","Wes Moore and Aruna Miller","DEM","Y","22","63","27","5","15" 
"16","Montgomery County","001-003","08","39","Governor / Lt. Governor","","Tom Perez and Shannon Sneed","DEM","","40","92","106","10","42" 
"16","Montgomery County","001-003","08","39","Governor / Lt. Governor","","Jerome M. Segal and Justinian M. Dispenza","DEM","","0","1","0","0","0" 
"16","Montgomery County","001-003","08","39","Comptroller","","Timothy J. Adams","DEM","","29","64","42","7","20" 
"16","Montgomery County","001-003","08","39","Comptroller","","Brooke Elizabeth Lierman","DEM","Y","67","170","164","14","62" 
"16","Montgomery County","001-003","08","39","Attorney General","","Anthony G. Brown","DEM","Y","53","129","92","10","35" 
"16","Montgomery County","001-003","08","39","Attorney General","","Katie Curran O'Malley","DEM","","46","107","117","12","49" 
"16","Montgomery County","001-003","08","39","U.S. Senator","","Michelle L. Smith","DEM","","15","35","20","2","11" 
"16","Montgomery County","001-003","08","39","U.S. Senator","","Chris Van Hollen","DEM","Y","83","204","195","21","76" 
"16","Montgomery County","001-003","08","39","U.S. Congress","08","Andalib Odulate","DEM","","12","36","13","1","7" 
"16","Montgomery County","001-003","08","39","U.S. Congress","08","Jamie Raskin","DEM","Y","83","203","200","17","80" 
"16","Montgomery County","001-003","08","39","State Senator","39","Adam Alphaeus Cunningham","DEM","","21","30","21","1","13" 
"16","Montgomery County","001-003","08","39","State Senator","39","Nancy J. King","DEM","Y","74","206","188","19","74" 
"16","Montgomery County","001-003","08","39","House of Delegates","39","Gabriel Acevero","DEM","Y","69","178","144","15","60" 
"16","Montgomery County","001-003","08","39","House of Delegates","39","Lesley J. Lopez","DEM","Y","72","162","157","14","64" 
"16","Montgomery County","001-003","08","39","House of Delegates","39","Kirill Reznik","DEM","Y","71","123","144","10","69" 
"16","Montgomery County","001-003","08","39","House of Delegates","39","Clint L. Sobratti","DEM","","53","94","83","7","39" 
"16","Montgomery County","001-003","08","39","County Executive","16","David T. Blair","DEM","","33","108","110","3","28" 
"16","Montgomery County","001-003","08","39","County Executive","16","Marc Elrich","DEM","Y","44","89","71","13","29" 
"16","Montgomery County","001-003","08","39","County Executive","16","Peter James","DEM","","1","13","1","2","3" 
"16","Montgomery County","001-003","08","39","County Executive","16","Hans Riemer","DEM","","21","34","31","4","27" 
"16","Montgomery County","001-003","08","39","County Council At Large","16","Gabe Albornoz","DEM","Y","62","124","131","12","55" 
"16","Montgomery County","001-003","08","39","County Council At Large","16","Brandy H. M. Brooks","DEM","","42","87","51","5","19" 
"16","Montgomery County","001-003","08","39","County Council At Large","16","Dana E. Gassaway","DEM","","19","68","31","6","17" 
"16","Montgomery County","001-003","08","39","County Council At Large","16","Evan Glass","DEM","Y","64","113","127","9","60" 
"16","Montgomery County","001-003","08","39","County Council At Large","16","Scott Evan Goldberg","DEM","","29","59","79","4","27" 
"16","Montgomery County","001-003","08","39","County Council At Large","16","Tom Hucker","DEM","","32","66","77","6","34" 
"16","Montgomery County","001-003","08","39","County Council At Large","16","Will Jawando","DEM","Y","58","125","115","11","50" 
"16","Montgomery County","001-003","08","39","County Council At Large","16","Laurie-Anne Sayles","DEM","Y","47","117","104","10","41" 
"16","Montgomery County","001-003","08","39","County Council","007","Andrew A. Einsmann","DEM","","12","17","12","3","7" 
"16","Montgomery County","001-003","08","39","County Council","007","Paul Geller","DEM","","3","20","14","1","6" 
"16","Montgomery County","001-003","08","39","County Council","007","Sharif A. Hidayat","DEM","","8","24","7","3","7" 
"16","Montgomery County","001-003","08","39","County Council","007","Dawn Luedtke","DEM","Y","32","47","73","3","30" 
"16","Montgomery County","001-003","08","39","County Council","007","Jacqueline Manger","DEM","","14","54","34","4","14" 
"16","Montgomery County","001-003","08","39","County Council","007","Paul K. Schwartz","DEM","","2","8","9","0","6" 
"16","Montgomery County","001-003","08","39","County Council","007","Ben Wikner","DEM","","19","58","38","4","11" 
"16","Montgomery County","001-003","08","39","Judge Circuit Court","Montgomery County Circuit Court 06","Carlos F. Acosta","DEM","Y","62","129","154","12","57" 
"16","Montgomery County","001-003","08","39","Judge Circuit Court","Montgomery County Circuit Court 06","Theresa M. Chernosky","DEM","Y","67","123","158","7","58" 
"16","Montgomery County","001-003","08","39","Judge Circuit Court","Montgomery County Circuit Court 06","Kathleen Dumais","DEM","Y","71","148","161","14","59" 
"16","Montgomery County","001-003","08","39","Judge Circuit Court","Montgomery County Circuit Court 06","Thomas P. Johnson, III","DEM","","26","76","34","6","20" 
"16","Montgomery County","001-003","08","39","Judge Circuit Court","Montgomery County Circuit Court 06","Rachel Theora McGuckian","DEM","Y","70","118","147","11","55" 
"16","Montgomery County","001-003","08","39","Judge Circuit Court","Montgomery County Circuit Court 06","Marylin Pierre","DEM","","50","123","65","10","35" 
"16","Montgomery County","001-003","08","39","State's Attorney","16","Tom DeGonia","DEM","","15","27","31","0","9" 
"16","Montgomery County","001-003","08","39","State's Attorney","16","John McCarthy","DEM","Y","29","101","113","9","46" 
"16","Montgomery County","001-003","08","39","State's Attorney","16","Bernice Mireku-North","DEM","","30","62","31","10","19" 
"16","Montgomery County","001-003","08","39","State's Attorney","16","Perry Paylor","DEM","","19","30","16","1","6" 
"16","Montgomery County","001-003","08","39","Clerk Circuit Court","16","Alan S. Bowser","DEM","","27","50","50","7","24" 
"16","Montgomery County","001-003","08","39","Clerk Circuit Court","16","Karen Bushell","DEM","Y","61","153","123","11","46" 
"16","Montgomery County","001-003","08","39","Register of Wills","16","Joseph M. Griffin","DEM","Y","87","195","174","14","70" 
"16","Montgomery County","001-003","08","39","Sheriff","16","Robert Bass","DEM","","34","108","90","4","35" 
"16","Montgomery County","001-003","08","39","Sheriff","16","Maxwell Cornelius Uy","DEM","Y","54","89","80","13","39" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm at Large","16","Tazeen Ahmad","DEM","","54","121","79","10","41" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm at Large","16","Sarah Brand","DEM","Y","53","134","121","7","41" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm at Large","16","Ilhan Cagri","DEM","","48","106","69","5","27" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm at Large","16","Barbara Ebel","DEM","Y","48","108","111","8","44" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm at Large","16","Marjorie Goldman","DEM","Y","52","110","102","7","39" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm at Large","16","Raju Mahajan","DEM","","42","77","47","5","25" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm at Large","16","Marko G. Rivera-Oven","DEM","Y","56","120","102","9","30" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm at Large","16","Andrew D. Saundry","DEM","Y","46","107","113","9","44" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm at Large","16","Michael Tardif","DEM","Y","50","85","97","7","35" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm at Large","16","Michelle C. Whittaker","DEM","Y","55","123","102","11","32" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm at Large","16","Peter Witzler","DEM","Y","49","87","115","5","41" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm","39","Jamie Andrews","DEM","","23","63","44","3","17" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm","39","Mumin A. Barre","DEM","","17","31","55","4","15" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm","39","Bobby Bartlett","DEM","","21","43","47","3","20" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm","39","Suzi Williams Kaplan","DEM","","24","47","84","7","29" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm","39","Marc Anthony Robles","DEM","Y","26","78","46","5","18" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm","39","Rebecca Rosales Castillo","DEM","Y","41","94","40","5","19" 
"16","Montgomery County","001-003","08","39","DEM Cent Comm","39","Ulrich A. Ssaka","DEM","","6","16","4","1","0" 
"16","Montgomery County","001-004","08","39","Governor / Lt. Governor","","Rushern L. Baker, III and Nancy Navarro","DEM","","1","6","4","0","1" 
"16","Montgomery County","001-004","08","39","Governor / Lt. Governor","","Jon Baron and Natalie Williams","DEM","","0","6","0","0","0" 
"16","Montgomery County","001-004","08","39","Governor / Lt. Governor","","Peter Franchot and Monique Anderson-Walker","DEM","","1","16","10","1","1" 
"16","Montgomery County","001-004","08","39","Governor / Lt. Governor","","Douglas F. Gansler and Candace Hollingsworth","DEM","","0","4","3","0","3" 
"16","Montgomery County","001-004","08","39","Governor / Lt. Governor","","Ralph W. Jaffe and Mark Greben","DEM","","1","3","0","1","0" 
"16","Montgomery County","001-004","08","39","Governor / Lt. Governor","","Ashwani Jain and LaTrece Hawkins Lytes","DEM","","1","6","1","0","0" 
"16","Montgomery County","001-004","08","39","Governor / Lt. Governor","","John King and Michelle Daugherty Siri","DEM","","3","2","3","1","2" 
"16","Montgomery County","001-004","08","39","Governor / Lt. Governor","","Wes Moore and Aruna Miller","DEM","Y","6","20","20","1","2" 
"16","Montgomery County","001-004","08","39","Governor / Lt. Governor","","Tom Perez and Shannon Sneed","DEM","","9","67","40","5","2" 
